GENE PRODUCT DB,GENE PRODUCT ID,SYMBOL,GO TERM,GO NAME,ECO ID,GO EVIDENCE CODE,REFERENCE,WITH/FROM,TAXON ID,GO ASPECT,Organel,Gene,Gene name,Reliability,Main location,Additional location,Extracellular location,Enhanced,Supported,Approved,Uncertain,Single-cell variation intensity,Single-cell variation spatial,Cell cycle dependency,GO id
UniProtKB,A3RJH1,DDX1,GO:0005634,nucleus,ECO:0000501,IEA,GO_REF:0000120,UniProtKB-KW:KW-0539|UniProtKB-SubCell:SL-0191,9606,C,nucleus,ENSG00000079785,DDX1,Supported,Nucleoplasm,Cytosol,,,Cytosol;Nucleoplasm,,,Nucleoplasm,,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
UniProtKB,A4D0P7,ORC5L,GO:0005634,nucleus,ECO:0000501,IEA,GO_REF:0000120,InterPro:IPR020796|UniProtKB-KW:KW-0539|UniProtKB-SubCell:SL-0191,9606,C,nucleus,,,,,,,,,,,,,,
UniProtKB,A4D0T4,FOXP2,GO:0005634,nucleus,ECO:0000501,IEA,GO_REF:0000120,UniProtKB-KW:KW-0539|UniProtKB-SubCell:SL-0191|UniRule:UR000413741,9606,C,nucleus,ENSG00000128573,FOXP2,Enhanced,Nucleoplasm,,,Nucleoplasm,,,,,,,Nucleoplasm (GO:0005654)
UniProtKB,A4D0U1,IFRD1,GO:0005634,nucleus,ECO:0000265,IEA,GO_REF:0000107,UniProtKB:P19182|ensembl:ENSMUSP00000001672,9606,C,nucleus,ENSG00000006652,IFRD1,Approved,Plasma membrane,Cytosol;Endoplasmic reticulum,,,,Cytosol;Endoplasmic reticulum;Plasma membrane,,Cytosol;Plasma membrane,,,Cytosol (GO:0005829);Endoplasmic reticulum (GO:0005783);Plasma membrane (GO:0005886)
UniProtKB,A4D0W0,LSM8,GO:0005634,nucleus,ECO:0000501,IEA,GO_REF:0000120,UniProtKB-KW:KW-0539|UniProtKB-SubCell:SL-0191,9606,C,nucleus,ENSG00000128534,LSM8,Approved,Nucleoplasm;Vesicles,,,,,Nucleoplasm;Vesicles,,,,,Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
UniProtKB,A4D0Y1,WASL,GO:0005634,nucleus,ECO:0000501,IEA,GO_REF:0000120,UniProtKB-KW:KW-0539|UniProtKB-SubCell:SL-0191,9606,C,nucleus,ENSG00000106299,WASL,Approved,Cytosol,Nucleoli,,,,Cytosol;Nucleoli,,,,,Cytosol (GO:0005829);Nucleoli (GO:0005730)
UniProtKB,A4D0Z1,PAX4,GO:0005634,nucleus,ECO:0000501,IEA,GO_REF:0000120,UniProtKB-KW:KW-0539|UniProtKB-SubCell:SL-0191|UniRule:UR000401037,9606,C,nucleus,,,,,,,,,,,,,,
UniProtKB,A4D105,RPA3,GO:0005634,nucleus,ECO:0000501,IEA,GO_REF:0000120,InterPro:IPR013970|UniProtKB-KW:KW-0539|UniProtKB-SubCell:SL-0191,9606,C,nucleus,,,,,,,,,,,,,,
UniProtKB,A4D150,LOC402468,GO:0005634,nucleus,ECO:0007322,IEA,GO_REF:0000043,UniProtKB-KW:KW-0539,9606,C,nucleus,,,,,,,,,,,,,,
UniProtKB,A4D151,LOC402468,GO:0005634,nucleus,ECO:0007322,IEA,GO_REF:0000043,UniProtKB-KW:KW-0539,9606,C,nucleus,,,,,,,,,,,,,,
