disease	class	organ	symptom_concept	hpo
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Skeletal	Osteopenia / osteoporosis	HP:0000938
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Skeletal	Pectus deformity	HP:0000766
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Skeletal	Pelvic / iliac / acetabular abnormality	HP:0002644
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Skeletal	Phalangeal / metacarpal / metatarsal abnormality	HP:0009834
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Hematologic_Immune	Recurrent infection (unspecified)	HP:0004313
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Respiratory	Recurrent respiratory infections / bronchiectasis	HP:0002783
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Eye	Retinal arteriolar attenuation	HP:0007843
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Eye	Retinal dystrophy (other / unspecified)	HP:0000556
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Skeletal	Rib abnormality (other)	HP:0000772
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Skeletal	Scoliosis / kyphosis / lordosis	HP:0002650
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Auditory	Sensorineural hearing loss / deafness	HP:0000407
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Cardiac	Septal defect (ASD/VSD/AV canal)	HP:0001671
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Skeletal	Short limbs (rhizomelic / mesomelic)	HP:0009826
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Skeletal	Short ribs / narrow thorax	HP:0000774
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Skeletal	Short stature / dwarfism	HP:0004322
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Skeletal	Skeletal dysplasia (general/unspecified)	HP:0002652
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Craniofacial	Skull base / cranial vault abnormality	HP:0010299
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	CNS	Speech / language abnormality	HP:0002463
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Reproductive	Sperm flagellar abnormality / male infertility	HP:0012864
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Hematologic_Immune	Splenomegaly	HP:0001744
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	CNS	Strabismus	HP:0000486
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Hematologic_Immune	Thrombocytopenia	HP:0001873
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Craniofacial	Tongue abnormality	HP:0000157
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Renal	Tubulointerstitial nephropathy	HP:0001970
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Skeletal	Vertebral / cervical abnormality	HP:0000925
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Eye	Visual field defect	HP:0001123
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Eye	Visual impairment / blindness	HP:0000505
Spondylometaphyseal Dysplasia	Tissue-restricted Ciliopathies	Craniofacial	Webbed neck / short neck	HP:0000465
Stromme Syndrome	Primary Ciliopathies	Cardiac	Cardiomyopathy	HP:0001638
Stromme Syndrome	Primary Ciliopathies	Eye	Cataract	HP:0000518
Stromme Syndrome	Primary Ciliopathies	CNS	Cerebellar hypoplasia/atrophy	HP:0001321
Stromme Syndrome	Primary Ciliopathies	Craniofacial	Cleft lip / palate	HP:0410030; HP:0000175
Stromme Syndrome	Primary Ciliopathies	CNS	Corpus callosum abnormality	HP:0001273
Stromme Syndrome	Primary Ciliopathies	CNS	Hydrocephalus	HP:0000238
Stromme Syndrome	Primary Ciliopathies	Renal	Hydronephrosis	HP:0000126
Stromme Syndrome	Primary Ciliopathies	Craniofacial	Hypertelorism	HP:0000316
Stromme Syndrome	Primary Ciliopathies	CNS	Intellectual disability / developmental delay	HP:0001249
Stromme Syndrome	Primary Ciliopathies	GI_Abdominal	Intestinal / GI structural anomaly	HP:0011024
Stromme Syndrome	Primary Ciliopathies	Eye	Iris / anterior chamber abnormality	HP:0000647
Stromme Syndrome	Primary Ciliopathies	Craniofacial	Low-set / malformed ears	HP:0000356
Stromme Syndrome	Primary Ciliopathies	CNS	Microcephaly	HP:0000252
Stromme Syndrome	Primary Ciliopathies	Craniofacial	Micrognathia / retrognathia	HP:0000347
Stromme Syndrome	Primary Ciliopathies	Eye	Microphthalmia / anophthalmia	HP:0000568
Stromme Syndrome	Primary Ciliopathies	Craniofacial	Nasal abnormality	HP:0000366
Stromme Syndrome	Primary Ciliopathies	Eye	Optic nerve abnormality	HP:0000587
Stromme Syndrome	Primary Ciliopathies	CNS	Peripheral neuropathy	HP:0003198
Stromme Syndrome	Primary Ciliopathies	Skeletal	Polydactyly	HP:0001162
Stromme Syndrome	Primary Ciliopathies	Renal	Renal hypoplasia / dysplasia	HP:0000110
Stromme Syndrome	Primary Ciliopathies	Eye	Retinal dystrophy (other / unspecified)	HP:0000556
Stromme Syndrome	Primary Ciliopathies	Cardiac	Septal defect (ASD/VSD/AV canal)	HP:0001655
Stromme Syndrome	Primary Ciliopathies	Hematologic_Immune	Spleen abnormality (asplenia/polysplenia)	HP:0001743
Stromme Syndrome	Primary Ciliopathies	Craniofacial	Tongue abnormality	HP:0000157
Townes-Brocks Syndrome	Secondary Diseases	GI_Abdominal	Anal / perianal abnormality	HP:0001746
Townes-Brocks Syndrome	Secondary Diseases	Skeletal	Bifid / duplicated thumb or hallux	HP:0010053
Townes-Brocks Syndrome	Secondary Diseases	Renal	Bladder / urinary tract abnormality	HP:0000014
Townes-Brocks Syndrome	Secondary Diseases	Eye	Choriocapillaris / chorioretinal abnormality	HP:0007844
Townes-Brocks Syndrome	Secondary Diseases	Skeletal	Clinodactyly	HP:0030084
Townes-Brocks Syndrome	Secondary Diseases	Reproductive	Cryptorchidism	HP:0000028
Townes-Brocks Syndrome	Secondary Diseases	GI_Abdominal	Esophageal abnormality	HP:0002031
Townes-Brocks Syndrome	Secondary Diseases	CNS	Eye movement abnormality (other)	HP:0009921
Townes-Brocks Syndrome	Secondary Diseases	Skeletal	Hand / foot abnormality (general)	HP:0001167
Townes-Brocks Syndrome	Secondary Diseases	GI_Abdominal	Hernia (abdominal)	HP:0100790
Townes-Brocks Syndrome	Secondary Diseases	Reproductive	Hypospadias	HP:0000047
Townes-Brocks Syndrome	Secondary Diseases	Endocrine	Hypothyroidism	HP:0000821
Townes-Brocks Syndrome	Secondary Diseases	GI_Abdominal	Imperforate anus / anal atresia	HP:0002023
Townes-Brocks Syndrome	Secondary Diseases	CNS	Intellectual disability / developmental delay	HP:0001249
Townes-Brocks Syndrome	Secondary Diseases	GI_Abdominal	Intestinal / GI structural anomaly	HP:0011024
Townes-Brocks Syndrome	Secondary Diseases	Craniofacial	Low-set / malformed ears	HP:0000356
Townes-Brocks Syndrome	Secondary Diseases	CNS	Microcephaly	HP:0000252
Townes-Brocks Syndrome	Secondary Diseases	Skeletal	Phalangeal / metacarpal / metatarsal abnormality	HP:0009834
Townes-Brocks Syndrome	Secondary Diseases	Skeletal	Polydactyly	HP:0001162
Townes-Brocks Syndrome	Secondary Diseases	Renal	Renal cysts / cystic kidney	HP:0000107
Townes-Brocks Syndrome	Secondary Diseases	Renal	Renal failure / ESRD / CKD	HP:0000083
Townes-Brocks Syndrome	Secondary Diseases	Renal	Renal hypoplasia / dysplasia	HP:0000110
Townes-Brocks Syndrome	Secondary Diseases	Reproductive	Scrotal / penile abnormality	HP:0008736
Townes-Brocks Syndrome	Secondary Diseases	Auditory	Sensorineural hearing loss / deafness	HP:0000407
Townes-Brocks Syndrome	Secondary Diseases	Cardiac	Septal defect (ASD/VSD/AV canal)	HP:0001671
Townes-Brocks Syndrome	Secondary Diseases	Skeletal	Syndactyly / webbed digits	HP:0001159
Townes-Brocks Syndrome	Secondary Diseases	Cardiac	Tetralogy of Fallot	HP:0001636
Townes-Brocks Syndrome	Secondary Diseases	Reproductive	Uterine / vaginal abnormality	HP:0000130
Usher Syndrome	Tissue-restricted Ciliopathies	Eye	Abnormal ERG / electroretinogram	HP:0007984
Usher Syndrome	Tissue-restricted Ciliopathies	CNS	Areflexia / hyporeflexia	HP:0001284
Usher Syndrome	Tissue-restricted Ciliopathies	CNS	Ataxia / gait abnormality	HP:0001251
Usher Syndrome	Tissue-restricted Ciliopathies	CNS	Behavioural abnormality	HP:0000708
Usher Syndrome	Tissue-restricted Ciliopathies	Eye	Bone-spicule retinal pigmentation	HP:0007737
Usher Syndrome	Tissue-restricted Ciliopathies	Eye	Cataract	HP:0000518
Usher Syndrome	Tissue-restricted Ciliopathies	CNS	Intellectual disability / developmental delay	HP:0001263
Usher Syndrome	Tissue-restricted Ciliopathies	Eye	Macular dystrophy / abnormality	HP:0007754
Usher Syndrome	Tissue-restricted Ciliopathies	CNS	Nystagmus	HP:0000639
Usher Syndrome	Tissue-restricted Ciliopathies	Eye	Optic nerve abnormality	HP:0000587
Usher Syndrome	Tissue-restricted Ciliopathies	Eye	Photophobia / night blindness	HP:0000613
Usher Syndrome	Tissue-restricted Ciliopathies	Eye	Retinal arteriolar attenuation	HP:0007843
Usher Syndrome	Tissue-restricted Ciliopathies	Eye	Retinal dystrophy (other / unspecified)	HP:0000556
Usher Syndrome	Tissue-restricted Ciliopathies	Auditory	Sensorineural hearing loss / deafness	HP:0000407
Usher Syndrome	Tissue-restricted Ciliopathies	Auditory	Vestibular dysfunction	HP:0008676
Usher Syndrome	Tissue-restricted Ciliopathies	Eye	Visual impairment / blindness	HP:0000505
Visceral Heterotaxy / Situs Inversus	Primary Ciliopathies	Cardiac	Atrial isomerism / heterotaxy	HP:0030853; HP:0001696
Visceral Heterotaxy / Situs Inversus	Primary Ciliopathies	Hepatic	Biliary tract abnormality	HP:0001923
Visceral Heterotaxy / Situs Inversus	Primary Ciliopathies	Skeletal	Birth weight / length / OFC abnormality	HP:0011451
Visceral Heterotaxy / Situs Inversus	Primary Ciliopathies	Cardiac	Cardiac defect (general / unspecified)	HP:0001627
Visceral Heterotaxy / Situs Inversus	Primary Ciliopathies	Cardiac	Cardiomegaly	HP:0001640
Visceral Heterotaxy / Situs Inversus	Primary Ciliopathies	Skeletal	Coccyx / sacrum abnormality	HP:0008443
Visceral Heterotaxy / Situs Inversus	Primary Ciliopathies	CNS	Constitutional symptom (catchall)	HP:0025142
Visceral Heterotaxy / Situs Inversus	Primary Ciliopathies	Cardiac	Dextrocardia / cardiac malposition	HP:0001651
Visceral Heterotaxy / Situs Inversus	Primary Ciliopathies	Endocrine	Failure to thrive / growth retardation	HP:0001508
Visceral Heterotaxy / Situs Inversus	Primary Ciliopathies	Craniofacial	Hypertelorism	HP:0000316
Visceral Heterotaxy / Situs Inversus	Primary Ciliopathies	GI_Abdominal	Imperforate anus / anorectal anomaly	HP:0011457
Visceral Heterotaxy / Situs Inversus	Primary Ciliopathies	GI_Abdominal	Intestinal / GI structural anomaly	HP:0010462
Visceral Heterotaxy / Situs Inversus	Primary Ciliopathies	Respiratory	Lung lobation / structural abnormality	HP:0002088
Visceral Heterotaxy / Situs Inversus	Primary Ciliopathies	Cardiac	Mitral / tricuspid / valve abnormality	HP:0001654
Visceral Heterotaxy / Situs Inversus	Primary Ciliopathies	Respiratory	Mucociliary clearance impairment	HP:0011947
Visceral Heterotaxy / Situs Inversus	Primary Ciliopathies	Cardiac	Outflow tract / great vessel anomaly	HP:0001669
Visceral Heterotaxy / Situs Inversus	Primary Ciliopathies	Respiratory	Recurrent respiratory infections / bronchiectasis	HP:0002783
Visceral Heterotaxy / Situs Inversus	Primary Ciliopathies	Renal	Renal hypoplasia / dysplasia	HP:0000110
Visceral Heterotaxy / Situs Inversus	Primary Ciliopathies	Cardiac	Septal defect (ASD/VSD/AV canal)	HP:0001671
Visceral Heterotaxy / Situs Inversus	Primary Ciliopathies	Respiratory	Situs inversus / heterotaxy (organ-level)	HP:0001696; HP:0030853
Visceral Heterotaxy / Situs Inversus	Primary Ciliopathies	Reproductive	Sperm flagellar abnormality / male infertility	HP:0012864
Visceral Heterotaxy / Situs Inversus	Primary Ciliopathies	Hematologic_Immune	Spleen abnormality (asplenia/polysplenia)	HP:0001743
Visceral Heterotaxy / Situs Inversus	Primary Ciliopathies	CNS	Tremor / dyskinesia / dystonia	HP:0001337
Visceral Heterotaxy / Situs Inversus	Primary Ciliopathies	Reproductive	Uterine / vaginal abnormality	HP:0000130
Weyers Acrofacial Dysostosis	Primary Ciliopathies	Skeletal	Brachydactyly / short digits	HP:0001156
Weyers Acrofacial Dysostosis	Primary Ciliopathies	Skeletal	Clinodactyly	HP:0030084
Weyers Acrofacial Dysostosis	Primary Ciliopathies	Craniofacial	Dental anomaly	HP:0000164
Weyers Acrofacial Dysostosis	Primary Ciliopathies	Craniofacial	Frenulum / oral frenulum abnormality	HP:0000190
Weyers Acrofacial Dysostosis	Primary Ciliopathies	Skeletal	Hand / foot abnormality (general)	HP:0001167
Weyers Acrofacial Dysostosis	Primary Ciliopathies	Craniofacial	Hypotelorism	HP:0000601
Weyers Acrofacial Dysostosis	Primary Ciliopathies	Craniofacial	Low-set / malformed ears	HP:0000356
Weyers Acrofacial Dysostosis	Primary Ciliopathies	Skin_Hair_Nail	Milia / pitted skin	HP:0001792
Weyers Acrofacial Dysostosis	Primary Ciliopathies	Skeletal	Polydactyly	HP:0001162
Weyers Acrofacial Dysostosis	Primary Ciliopathies	Skeletal	Short stature / dwarfism	HP:0004322
